response,total_count,tags
,366,tier0.blank
Weight loss,38,desire.weight_loss
Losing weight,13,desire.weight_loss
Lose weight,7,desire.weight_loss
Weight,6,desire.weight_loss
Lose weight and keep it off,4,desire.weight_loss;desire.maintenance
Side effects,4,question.side_effects
Keeping it off,3,desire.maintenance
Not sure,3,tier0.nonanswer
Weight management,3,desire.weight_loss
GLP-1,2,desire.medication_interest
How to keep weight off,2,desire.weight_loss;desire.maintenance
How to lose weight and keep it off,2,desire.weight_loss;desire.maintenance
How to lose weight fast,2,desire.weight_loss
How to lose weight,2,desire.weight_loss
Keep it off,2,desire.maintenance
Losing weight and keeping it off,2,desire.weight_loss;desire.maintenance
Maintaining weight loss,2,desire.weight_loss;desire.maintenance
Nothing,2,tier0.nonanswer
Side affects,2,question.side_effects
Weight loss management,2,desire.weight_loss
weight loss,2,desire.weight_loss
.how to stop eating at night and when I am tense,1,desire.appetite_control
15 lbs off,1,desire.weight_loss;desire.specific_target;segment.modest_goal
2 things… FOUNDAYO caused constipation and I only want to lose 8-10 lbs. is this appropriate?,1,desire.weight_loss;desire.specific_target;desire.medication_interest;question.side_effects;segment.modest_goal
A healthy diet plan,1,desire.plan_guidance
A pill for weight loss,1,desire.weight_loss;desire.medication_interest;question.modality
A you help with high inflammation and parasites?,1,desire.disease_control
About what I can take to help me lose the weight’ about my digestive problems also,1,desire.weight_loss
Achesx,1,desire.pain_mobility
Affordable weight loss that may take some of the strain off of my back and legs,1,desire.weight_loss;desire.pain_mobility;question.cost_coverage
All about the medicine,1,question.how_it_works
"Always tired, always on the verge of tears, don’t care to venture out on the one day that I’m off",1,desire.energy
Am I ok to do this program,1,unmapped
Am I safe to take your product?,1,question.safety
An ppotential side effects; expectations.,1,question.side_effects
An you help me lose weight,1,desire.weight_loss
"As I have been aging, I have been getting shorter, which I understand is normal. The problem is my weight hasn’t gone down with my height. I don’t want to be skinny, just healthier, looking and feeling.",1,desire.weight_loss;desire.pain_mobility;desire.appearance;concern.age
Balance,1,desire.pain_mobility
Being able to get to a healthier weight and hoping that will help with my other aging problems,1,desire.weight_loss;concern.age
Being able to lose about 15 lbs,1,desire.weight_loss;desire.specific_target;segment.modest_goal
"Being stuck at a weight, scale won’t move",1,desire.weight_loss;concern.plateau_switcher
"Belly Fat, weight",1,desire.weight_loss;desire.belly
Belly fat,1,desire.weight_loss;desire.belly
Belly hangover,1,desire.weight_loss;desire.belly
Best eating and exercising plan,1,desire.plan_guidance
Best foods for weight loss,1,desire.weight_loss;desire.plan_guidance
Better way to help myself loose and keep it off I’m in need of help,1,desire.weight_loss;desire.maintenance
Bloating and fatigue,1,desire.energy
Busting through my plateau to get to my goal I’ve lost 64 pounds and need to lose 12 more!,1,desire.weight_loss;desire.specific_target;concern.plateau_switcher;segment.maintenance_phase
Can you drink alcohol at all on program?,1,unmapped
Can’t loose weight no matter what I try,1,desire.weight_loss;concern.tried_everything
"Chronic back pain, 7 surgeries, rod & pins in my back with arthritis. Arthritis in my knee.",1,desire.pain_mobility
Compound glp1 is no longer working very very slow losing weight,1,desire.weight_loss;desire.medication_interest;concern.plateau_switcher
Consistency with balanced eating,1,desire.pain_mobility;desire.plan_guidance
Control my diabetes,1,desire.disease_control
Control snacking throughout the day,1,desire.appetite_control
Cost & dosage,1,question.cost_coverage
Cravings,1,desire.appetite_control
Curb appetite and alcohol consumption,1,desire.appetite_control
"Curbing sweet cravings, increase energy.",1,desire.energy;desire.appetite_control
Currently on tirzepitide and getting close to my weight goal but want to maintain after reaching my goal,1,desire.weight_loss;desire.specific_target;desire.maintenance;desire.medication_interest;segment.current_glp1;segment.maintenance_phase
"Despite my very best efforts my weight continues to climb.  I have been on weight watchers, Atkinson, noom, and keto …. If I loose some weight it comes back within a few months.   I’m frustrated and worried.",1,desire.weight_loss;concern.side_effect_fear;concern.tried_everything
Diet  is this successful for weight loss,1,desire.weight_loss;desire.plan_guidance
Diet,1,desire.plan_guidance
Difficulty losing weight at 73 yrs old,1,desire.weight_loss;concern.age
Discuss overall treatment,1,unmapped
Do you accept Tricare for Life Express Scripts for pharmacy,1,desire.maintenance;question.cost_coverage;question.duration
Don’t know what to ask,1,tier0.nonanswer
Eating better and exercising,1,desire.plan_guidance
