tag,example_response,count
concern.affordability,Weight loss for a cheaper price!,1
concern.affordability,"The Glo 1 I was taking- shot- 10ml I only lost 8 lbs - 1000.$ and 3 mos. - no side effects 
What can I expect from this med?",1
concern.affordability,My doctor prescribed Wegovy but I can’t afford it. UHC won’t pay for it,1
concern.affordability,"I was taking wegovy, for 3 months and the insurance didn’t cover me any more, do to government changes on the plan. I have Medicare and Tri-Care for life, I see you said here I was eligible for the medicar, but what about Tri-Care, will the cover it?",1
concern.affordability,I want to loose weight because I have alot of back pain  my insurance quitcovering Zepbound so would like to find out what you have  to help with weight and pain,1
concern.affordability,I want an effective medication to loose weight that I can afford with my Medicare.,1
concern.affordability,"I took terzepitide for 5 months in 2024, but the monthly fee forJumpstart ($325/month) plus the cost of the compounded drug became too expensive.  I lost weight (down to 215), tolerated the drug, and was comfortable with the routine.
My primary care MD",1
concern.age,Weight loss and anti aging,1
concern.age,My difficulty in losing weight in my old age. My knees are killing me from my overweightness. The pain is affecting my mobilty,1
concern.age,My age 80,1
concern.age,"I’ve turned 70. I want to reduce weight, add stamina, strengthen knees.",1
concern.age,"Im 69, but feel like I'm 100!  I want to enjoy my grandkids",1
concern.age,I need help at my age,1
concern.age,I am active for my age and eat healthy but cannot drop the 10 pounds. I am not used to a belly like I have and I am uncomfortable. Its not a huge amount but I spend so much time abd energy on this. .,1
concern.age,I am a 74 year-old woman who cannot seem to lose weight the GPL-1’s seem to be the only way that I can lose this weight for God,1
concern.comorbidity_safety,finding the cause and what type of eating style is best for CKD,1
concern.comorbidity_safety,"What are the side effects of using GLP1, when I have cirrhosis.",1
concern.comorbidity_safety,Weight loss for my health. Very hard to walk long distances and also have COPD and the weight is very hard on me,1
concern.comorbidity_safety,Weight loss during care for congestive heart failure,1
concern.comorbidity_safety,"Thyroid
Weight loss",1
concern.comorbidity_safety,Ned something to get weight off that I can take with all my medications,1
concern.comorbidity_safety,My hypothyroidism,1
concern.comorbidity_safety,"My Gastro doctor discovered my inflamed colon, meeting with him in 2 weeks. Since last December, I have gained about 
20-25 #. Not eating more foods, but craving sweets. I’m actively working full time job as cashier. Weight not coming off like before.",1
concern.injection_aversion,I tried tirzepitide by iinjsection for several months. Horrible eczema allergic reaction.,1
concern.injection_aversion,I can’t take injectable Semaglutide or tirzepatide,1
concern.injection_aversion,"How to help me lose 50 pounds. I’m scared of the GLP one medication, but I’m willing to try the pill.",1
concern.plateau_switcher,my weight loss has stalled,1
concern.plateau_switcher,"Weight not moving despite calorie restriction, exercise, etc.",1
concern.plateau_switcher,"Wegovy from Hers is not working 
About 4 years ago, I did very well on monjaro",1
concern.plateau_switcher,The advancement on the shots was too slow to help me lose weight as I should,1
concern.plateau_switcher,Still hungry. On 12.5 zepbound. No energy,1
concern.plateau_switcher,Something that will help move the needle,1
concern.plateau_switcher,Ozimpuc 1 mg shot per wk i havent lost weight,1
concern.plateau_switcher,"My BMI is to high, I have tried ozempic, and nougat with not much sucess",1
concern.side_effect_fear,Would like to lose 60 lbs and concerned with loose skin after weight lose,1
concern.side_effect_fear,Weight loss and reverse current muscle loss,1
concern.side_effect_fear,Some weight loss without muscle loss. Energy back. General well being,1
concern.side_effect_fear,I want to loose weight without hair loss or muscle loss,1
concern.side_effect_fear,"I have total hip replacement, I do walk 5 thousand 3 days a week and do Pilates 3 days a week and weight still stays on, I want to lose 20 lbs.  Zepbound does this glp1 cause hair lose?",1
concern.side_effect_fear,I don’t want anything that will make me feel bad or interfere with my letrozole (cancer medication),1
concern.side_effect_fear,"I do not want to take one that makes me feel nauseous or down. This has been my experience with Wegovy and a generic one I took in the past. Plus, Wegovy did not curve my appetite.",1
concern.side_effect_fear,"How to help me lose 50 pounds. I’m scared of the GLP one medication, but I’m willing to try the pill.",1
concern.skepticism_trust,why am I doing this through you guys what's in it for you?,1
concern.skepticism_trust,Want to find a medication that really work. I want to live longer.,1
concern.skepticism_trust,Has this been approved & is it safe? Not just something made up and thrown together for $$$?,1
concern.tried_everything,always hungry can't lose my stomach,1
concern.tried_everything,Yo yo dieting,1
concern.tried_everything,"Why, I’m a slow looser?",1
concern.tried_everything,"Why even eating proper foods, no processed foods,intermittent fasting cannot seem to lose weight",1
concern.tried_everything,Why I don’t loose weight even when I eat small portions,1
concern.tried_everything,Why I can't lose ten more pounds?,1
concern.tried_everything,"Weight not moving despite calorie restriction, exercise, etc.",1
concern.tried_everything,Weight lose I have knee and back issues and the weight is not good I lose then regain yo yo for years,1
desire.appearance,Wt loss & tone,1
desire.appearance,Would like to lose weight so I would have more energy to do things feel better about myself. I used to work out when I was younger.,1
desire.appearance,Would like to lose 60 lbs and concerned with loose skin after weight lose,1
desire.appearance,"Weight loss, Skin tightening & energy",1
desire.appearance,Weight loss firm up,1
desire.appearance,Weight loss and anti aging,1
desire.appearance,Want to find a medication that really work. I want to live longer.,1
desire.appearance,Loosing weight! I have put on about 18 lbs. and I am very uncomfortable! I would like to lose weight and feel good about myself!,1
desire.appetite_control,stopping the hunger,1
desire.appetite_control,always hungry can't lose my stomach,1
desire.appetite_control,Why do I want to eat all the time?,1
desire.appetite_control,Sweet food junkie,1
desire.appetite_control,Stopping g food noise. Learning to eat in moderation,1
desire.appetite_control,Still hungry. On 12.5 zepbound. No energy,1
desire.appetite_control,"My Gastro doctor discovered my inflamed colon, meeting with him in 2 weeks. Since last December, I have gained about 
20-25 #. Not eating more foods, but craving sweets. I’m actively working full time job as cashier. Weight not coming off like before.",1
desire.appetite_control,Late PM cravings,1
desire.belly,losing belly fat,1
desire.belly,always hungry can't lose my stomach,1
