tag,group,total_mentions,pct_of_text_answers
desire.weight_loss,desire,378,65.4
desire.maintenance,desire,75,13.0
desire.plan_guidance,desire,65,11.2
desire.pain_mobility,desire,58,10.0
desire.medication_interest,desire,50,8.7
desire.specific_target,desire,49,8.5
desire.energy,desire,41,7.1
desire.disease_control,desire,36,6.2
question.cost_coverage,question,28,4.8
question.side_effects,question,28,4.8
desire.appetite_control,desire,27,4.7
segment.modest_goal,segment,22,3.8
concern.comorbidity_safety,concern,21,3.6
concern.tried_everything,concern,20,3.5
concern.plateau_switcher,concern,17,2.9
desire.muscle_strength,desire,17,2.9
desire.appearance,desire,16,2.8
question.modality,question,16,2.8
concern.age,concern,15,2.6
desire.belly,desire,12,2.1
question.how_it_works,question,12,2.1
concern.side_effect_fear,concern,10,1.7
desire.general_health,desire,10,1.7
segment.current_glp1,segment,10,1.7
tier0.nonanswer,tier0,10,1.7
question.duration,question,9,1.6
question.safety,question,9,1.6
segment.maintenance_phase,segment,9,1.6
concern.affordability,concern,7,1.2
question.eligibility,question,7,1.2
question.interactions,question,6,1.0
segment.lapsed,segment,5,0.9
concern.injection_aversion,concern,3,0.5
concern.skepticism_trust,concern,3,0.5
segment.naive_curious,segment,2,0.3
